-0.400	-0.008
-0.397	-0.009
-0.394	-0.009
-0.390	-0.009
-0.387	-0.009
-0.384	-0.009
-0.381	-0.009
-0.378	-0.008
-0.374	-0.008
-0.371	-0.008
-0.368	-0.008
-0.365	-0.008
-0.362	-0.007
-0.358	-0.007
-0.355	-0.007
-0.352	-0.006
-0.349	-0.006
-0.345	-0.005
-0.342	-0.005
-0.339	-0.004
-0.336	-0.004
-0.333	-0.003
-0.329	-0.003
-0.326	-0.002
-0.323	-0.002
-0.320	-0.001
-0.317	-0.001
-0.313	-0.001
-0.310	-0.000
-0.307	0.000
-0.304	0.001
-0.301	0.001
-0.297	0.001
-0.294	0.002
-0.291	0.002
-0.288	0.002
-0.285	0.002
-0.281	0.002
-0.278	0.002
-0.275	0.002
-0.272	0.002
-0.269	0.002
-0.265	0.002
-0.262	0.002
-0.259	0.001
-0.256	0.001
-0.253	0.000
-0.249	-0.000
-0.246	-0.001
-0.243	-0.002
-0.240	-0.003
-0.236	-0.004
-0.233	-0.006
-0.230	-0.007
-0.227	-0.009
-0.224	-0.011
-0.220	-0.012
-0.217	-0.014
-0.214	-0.017
-0.211	-0.019
-0.208	-0.022
-0.204	-0.024
-0.201	-0.027
-0.198	-0.030
-0.195	-0.033
-0.192	-0.036
-0.188	-0.039
-0.185	-0.042
-0.182	-0.046
-0.179	-0.049
-0.176	-0.052
-0.172	-0.056
-0.169	-0.059
-0.166	-0.063
-0.163	-0.066
-0.160	-0.069
-0.156	-0.072
-0.153	-0.076
-0.150	-0.079
-0.147	-0.082
-0.143	-0.084
-0.140	-0.087
-0.137	-0.089
-0.134	-0.092
-0.131	-0.094
-0.127	-0.096
-0.124	-0.097
-0.121	-0.099
-0.118	-0.100
-0.115	-0.101
-0.111	-0.101
-0.108	-0.102
-0.105	-0.102
-0.102	-0.102
-0.099	-0.101
-0.095	-0.101
-0.092	-0.100
-0.089	-0.099
-0.086	-0.097
-0.083	-0.096
-0.079	-0.094
-0.076	-0.092
-0.073	-0.090
-0.070	-0.087
-0.067	-0.085
-0.063	-0.082
-0.060	-0.079
-0.057	-0.076
-0.054	-0.073
-0.051	-0.069
-0.047	-0.066
-0.044	-0.062
-0.041	-0.058
-0.038	-0.054
-0.034	-0.050
-0.031	-0.046
-0.028	-0.042
-0.025	-0.038
-0.022	-0.034
-0.018	-0.030
-0.015	-0.026
-0.012	-0.022
-0.009	-0.017
-0.006	-0.013
-0.002	-0.009
0.001	-0.005
0.004	-0.001
0.007	0.003
0.010	0.007
0.014	0.011
0.017	0.015
0.020	0.019
0.023	0.022
0.026	0.026
0.030	0.029
0.033	0.033
0.036	0.036
0.039	0.039
0.042	0.042
0.046	0.045
0.049	0.048
0.052	0.051
0.055	0.054
0.059	0.057
0.062	0.059
0.065	0.062
0.068	0.064
0.071	0.067
0.075	0.069
0.078	0.071
0.081	0.074
0.084	0.076
0.087	0.078
0.091	0.080
0.094	0.083
0.097	0.085
0.100	0.087
0.103	0.089
0.107	0.092
0.110	0.094
0.113	0.096
0.116	0.099
0.119	0.101
0.123	0.104
0.126	0.107
0.129	0.110
0.132	0.112
0.135	0.115
0.139	0.118
0.142	0.121
0.145	0.125
0.148	0.128
0.152	0.131
0.155	0.135
0.158	0.138
0.161	0.142
0.164	0.145
0.168	0.149
0.171	0.153
0.174	0.157
0.177	0.161
0.180	0.165
0.184	0.169
0.187	0.173
0.190	0.177
0.193	0.181
0.196	0.186
0.200	0.190
0.203	0.194
0.206	0.199
0.209	0.203
0.212	0.208
0.216	0.213
0.219	0.217
0.222	0.222
0.225	0.227
0.228	0.232
0.232	0.237
0.235	0.242
0.238	0.247
0.241	0.252
0.244	0.257
0.248	0.263
0.251	0.268
0.254	0.274
0.257	0.280
0.261	0.286
0.264	0.292
0.267	0.299
0.270	0.305
0.273	0.312
0.277	0.319
0.280	0.327
0.283	0.334
0.286	0.342
0.289	0.350
0.293	0.359
0.296	0.368
0.299	0.377
0.302	0.387
0.305	0.397
0.309	0.407
0.312	0.418
0.315	0.429
0.318	0.441
0.321	0.453
0.325	0.466
0.328	0.479
0.331	0.493
0.334	0.507
0.337	0.522
0.341	0.538
0.344	0.554
0.347	0.571
0.350	0.588
0.354	0.606
0.357	0.624
0.360	0.643
0.363	0.663
0.366	0.684
0.370	0.705
0.373	0.726
0.376	0.749
0.379	0.772
0.382	0.796
0.386	0.820
0.389	0.845
0.392	0.871
0.395	0.897
0.398	0.924
0.402	0.951
0.405	0.979
0.408	1.008
0.411	1.038
0.414	1.067
0.418	1.098
0.421	1.129
0.424	1.160
0.427	1.192
0.430	1.225
0.434	1.258
0.437	1.291
0.440	1.325
0.443	1.360
0.446	1.394
0.450	1.429
0.453	1.465
0.456	1.501
0.459	1.537
0.463	1.573
0.466	1.610
0.469	1.647
0.472	1.684
0.475	1.721
0.479	1.758
0.482	1.796
0.485	1.834
0.488	1.871
0.491	1.909
0.495	1.947
0.498	1.984
0.501	2.022
0.504	2.060
0.507	2.097
0.511	2.134
0.514	2.171
0.517	2.208
0.520	2.244
0.523	2.280
0.527	2.316
0.530	2.352
0.533	2.387
0.536	2.421
0.539	2.455
0.543	2.489
0.546	2.522
0.549	2.555
0.552	2.587
0.556	2.618
0.559	2.649
0.562	2.679
0.565	2.708
0.568	2.737
0.572	2.764
0.575	2.792
0.578	2.818
0.581	2.844
0.584	2.868
0.588	2.892
0.591	2.916
0.594	2.938
0.597	2.959
0.600	2.980
0.604	3.000
0.607	3.018
0.610	3.036
0.613	3.053
0.616	3.069
0.620	3.084
0.623	3.099
0.626	3.112
0.629	3.124
0.632	3.135
0.636	3.146
0.639	3.155
0.642	3.164
0.645	3.171
0.648	3.178
0.652	3.183
0.655	3.188
0.658	3.192
0.661	3.194
0.665	3.196
0.668	3.197
0.671	3.197
0.674	3.196
0.677	3.195
0.681	3.192
0.684	3.189
0.687	3.185
0.690	3.180
0.693	3.174
0.697	3.167
0.700	3.160
0.703	3.152
0.706	3.144
0.709	3.134
0.713	3.124
0.716	3.114
0.719	3.103
0.722	3.092
0.725	3.080
0.729	3.067
0.732	3.054
0.735	3.041
0.738	3.027
0.741	3.013
0.745	2.998
0.748	2.984
0.751	2.969
0.754	2.953
0.758	2.938
0.761	2.922
0.764	2.906
0.767	2.890
0.770	2.873
0.774	2.857
0.777	2.840
0.780	2.823
0.783	2.806
0.786	2.789
0.790	2.772
0.793	2.755
0.796	2.738
0.799	2.721
0.802	2.704
0.806	2.687
0.809	2.670
0.812	2.653
0.815	2.636
0.818	2.619
0.822	2.602
0.825	2.585
0.828	2.568
0.831	2.552
0.834	2.535
0.838	2.519
0.841	2.503
0.844	2.487
0.847	2.471
0.851	2.455
0.854	2.439
0.857	2.424
0.860	2.409
0.863	2.393
0.867	2.378
0.870	2.364
0.873	2.349
0.876	2.334
0.879	2.320
0.883	2.306
0.886	2.292
0.889	2.278
0.892	2.264
0.895	2.250
0.899	2.237
0.902	2.224
0.905	2.210
0.908	2.197
0.911	2.184
0.915	2.172
0.918	2.159
0.921	2.146
0.924	2.134
0.927	2.121
0.931	2.109
0.934	2.097
0.937	2.085
0.940	2.073
0.943	2.061
0.947	2.049
0.950	2.037
0.953	2.025
0.956	2.014
0.960	2.002
0.963	1.990
0.966	1.979
0.969	1.968
0.972	1.956
0.976	1.945
0.979	1.934
0.982	1.923
0.985	1.912
0.988	1.901
0.992	1.890
0.995	1.879
0.998	1.868
1.001	1.857
1.004	1.846
1.008	1.835
1.011	1.824
1.014	1.814
1.017	1.803
1.020	1.792
1.024	1.782
1.027	1.771
1.030	1.761
1.033	1.750
1.036	1.740
1.040	1.730
1.043	1.719
1.046	1.709
1.049	1.699
1.053	1.689
1.056	1.679
1.059	1.669
1.062	1.659
1.065	1.649
1.069	1.640
1.072	1.630
1.075	1.621
1.078	1.611
1.081	1.602
1.085	1.593
1.088	1.583
1.091	1.574
1.094	1.565
1.097	1.556
1.101	1.548
1.104	1.539
1.107	1.530
1.110	1.522
1.113	1.513
1.117	1.505
1.120	1.496
1.123	1.488
1.126	1.480
1.129	1.472
1.133	1.464
1.136	1.455
1.139	1.447
1.142	1.439
1.145	1.431
1.149	1.423
1.152	1.415
1.155	1.407
1.158	1.399
1.162	1.391
